date	values
2017-01-01	9.85866948118196
2017-01-02	13.9174192005422
2017-01-03	24.034249927656
2017-01-04	18.3802835349471
2017-01-05	28.6112720602705
2017-01-06	18.2240231865114
2017-01-07	27.3219860409228
2017-01-08	31.8883254292738
2017-01-09	14.8185465447859
2017-01-10	20.2880661422241
2017-01-11	24.8472780724104
2017-01-12	9.85488582473396
2017-01-13	19.3516753458338
2017-01-14	11.6505381282185
2017-01-15	29.7592270594984
2017-01-16	17.1703556169259
2017-01-17	21.221831023787
2017-01-18	21.6529864695032
2017-01-19	14.5275379540773
2017-01-20	26.8506377505108
2017-01-21	24.2290257969251
2017-01-22	20.0345746979629
2017-01-23	28.7854472643201
2017-01-24	21.910849845372
2017-01-25	22.0808204578543
2017-01-26	13.3461470722363
2017-01-27	17.5277684260974
2017-01-28	60.3728163091407
2017-01-29	31.7649163166559
2017-01-30	26.6026838402863
2017-01-31	17.6527962945537
2017-02-01	100.4243042029892
2017-02-02	15.868027131483
2017-02-03	27.0984995924182
2017-02-04	20.5510074887123
2017-02-05	20.8911233718829
2017-02-06	21.3512874276934
2017-02-07	23.9171255579197
2017-02-08	13.0457537678988
2017-02-09	18.0543553745215
2017-02-10	20.9348429458506
2017-02-11	25.3926963573268
2017-02-12	27.2049791607706
2017-02-13	20.5845044427951
2017-02-14	21.4428300847282
2017-02-15	15.9746728060283
2017-02-16	7.03176719682176
2017-02-17	25.1905032370791
2017-02-18	17.7745363202332
2017-02-19	19.2405219592945
2017-02-20	9.95026404863678
2017-02-21	31.4642520901304
2017-02-22	16.4524027957876
2017-02-23	9.95752838846919
2017-02-24	26.9252174550568
2017-02-25	13.3546988091525
2017-02-26	23.97821285179
2017-02-27	15.9936945862117
2017-02-28	12.7360017504884
2017-03-01	17.269536331909
2017-03-02	26.8999541402893
2017-03-03	20.6252053090707
2017-03-04	25.6563475159636
2017-03-05	21.894476704562
2017-03-06	15.5811851676419
2017-03-07	12.6497161067897
2017-03-08	13.4300931910131
2017-03-09	22.3034460402862
2017-03-10	18.1642174412398
2017-03-11	12.2785888363822
2017-03-12	27.5038313248126
2017-03-13	12.8973546713789
2017-03-14	15.0474612000708
2017-03-15	25.5404865319024
2017-03-16	14.4554795452911
2017-03-17	23.4107455674787
2017-03-18	26.6811765995728
2017-03-19	22.5704110511239
2017-03-20	21.5477010922948
2017-03-21	16.7781521337128
2017-03-22	26.3179250322297
2017-03-23	19.19816388414
2017-03-24	20.5081508798676
2017-03-25	18.9054492030811
2017-03-26	20.6226015530078
2017-03-27	23.747299637044
2017-03-28	22.3697324835068
2017-03-29	21.6581499712602
2017-03-30	20.4878940593921
2017-03-31	21.6280735788088
2017-04-01	28.8953002571714
2017-04-02	21.8462587286801
2017-04-03	14.6331494532946
2017-04-04	20.4918585215641
2017-04-05	20.505068251634
2017-04-06	18.0980686398782
2017-04-07	27.5399323975022
2017-04-08	25.6973388102901
2017-04-09	20.6749495847693
2017-04-10	9.24532427711134
2017-04-11	19.178305499552
2017-04-12	23.7724521878835
2017-04-13	21.4926398027402
2017-04-14	21.9587336507265
2017-04-15	20.6835767897828
2017-04-16	22.4676141894464
2017-04-17	16.9877951145727
2017-04-18	10.5886851706299
2017-04-19	17.3921153917175
2017-04-20	25.4300029443432
2017-04-21	19.3378747105087
2017-04-22	18.5374713016399
2017-04-23	24.3364831490753
2017-04-24	31.1184702759837
2017-04-25	21.0632342326267
2017-04-26	24.6749737790205
2017-04-27	10.5260894168222
2017-04-28	17.6599513918356
2017-04-29	18.1836400505193
2017-04-30	16.1407276117124
2017-05-01	20.4502326387252
2017-05-02	20.903492489432
2017-05-03	27.676442818555
2017-05-04	7.2406835940421
2017-05-05	26.4097652854329
2017-05-06	18.9803722661642
2017-05-07	20.871173143081
2017-05-08	23.7721676672603
2017-05-09	23.4019258336144
2017-05-10	21.7233817992437
2017-05-11	28.8343277420768
2017-05-12	19.6353538246861
2017-05-13	18.2047671866364
2017-05-14	25.5428371105629
2017-05-15	23.723978737544
2017-05-16	19.6832491079607
2017-05-17	30.6742363288609
2017-05-18	16.6309681887865
2017-05-19	29.3411454496324
2017-05-20	16.013299238828
2017-05-21	26.0299761470888
2017-05-22	19.5222345177762
2017-05-23	25.5930496739486
2017-05-24	26.0494205117172
