x	y	z	value	group
0.739101413404569	0.378423226065934	0.636420459253713	1.10878802346997	1
0.732283842517063	0.320559605723247	0.410329677630216	4.9556550681591	2
0.917565648443997	0.675808710046113	0.433077217778191	6.55748963099904	2
0.989297041902319	0.716290939832106	0.73286968562752	2.93645771848969	1
0.291101488517597	0.510563493473455	0.5016425375361	4.48860296583734	2
0.310517298057675	0.45649514044635	0.640276250196621	2.32157737831585	2
0.830996922682971	0.724786679260433	0.57974488614127	7.95250157965347	2
0.0573887072969228	0.527212162036449	0.453012134646997	8.4410253057722	1
0.85642873425968	0.312747362069786	0.671949773328379	2.60574074555188	1
0.94336408469826	0.373890705872327	0.592506063636392	9.7875657309778	1
0.958381630945951	0.332023202907294	0.854397787014022	2.65998927573673	1
0.96322874026373	0.595234075328335	0.569028883008286	6.924366209656	2
0.949249908328056	0.592844577506185	0.170141475275159	3.48264889442362	1
0.373675071634352	0.88300120132044	0.406046572839841	2.63771330774762	2
0.964541123248637	0.0521695006173104	0.533972262172028	3.23217422328889	1
0.0617243198212236	0.0754284628201276	0.987980077741668	8.82240065746009	2
0.80327260796912	0.956136970082298	0.356051757698879	9.59681828692555	2
0.589586240006611	0.697971580084413	0.171160798054188	8.16692383494228	1
0.251013789791614	0.522046744357795	0.122809820342809	3.50951483030804	2
0.499689435819164	0.685589891858399	0.495480685727671	2.1446672368329	1
0.0794377184938639	0.111544667743146	0.0293776460457593	7.73454774357378	1
0.820133699802682	0.58571977680549	0.169794781832024	8.34734609443694	2
0.81474418588914	0.276258690748364	0.994106695288792	7.9930429761298	1
0.352989099919796	0.788977431831881	0.338998457184061	9.54472994501702	2
0.216474209213629	0.939617017749697	0.233580184867606	3.41543771116994	2
0.236704820068553	0.639819581061602	0.823449032381177	4.9483506293036	1
0.23559238947928	0.995957381324843	0.126289934385568	4.13490979862399	2
0.0475180903449655	0.472469548229128	0.778570476453751	4.84106680541299	2
0.963872506748885	0.94362524477765	0.990703666117042	5.58017781982198	2
0.432656760094687	0.765647884923965	0.45336051681079	5.39286068012007	1
0.172693725908175	0.778670752653852	0.719315301626921	9.47480664402246	1
0.232264603953809	0.311174789676443	0.312639967538416	5.20829470944591	1
0.175860073417425	0.127933949697763	0.622920919908211	3.41955232876353	1
0.156039251247421	0.854111296124756	0.811805021949112	6.80175019381568	1
0.570829680655152	0.163291682722047	0.550083611393347	7.14899369189516	2
0.140343580394983	0.490123736206442	0.364870797144249	5.33210828131996	2
0.419991792878136	0.492982470663264	0.947589943185449	3.93499990762211	1
0.527637438615784	0.221119187772274	0.393262715311721	8.67739515122958	1
0.778380644973367	0.629152308683842	0.608508403180167	6.72875000722706	2
0.52893720054999	0.0936286279466003	0.923528746236116	1.22484320937656	2
0.149478242266923	0.869686206802726	0.0398021405562758	9.55312382383272	1
0.587758730864152	0.463243487756699	0.37582535832189	3.91971694887616	2
0.993272391147912	0.0787859712727368	0.974056953098625	5.02816875861026	2
0.0373419709503651	0.116637718863785	0.512797735398635	9.63632060820237	1
0.420928389765322	0.804959172615781	0.339038613485172	7.39114854251966	1
0.877882982604206	0.909781183581799	0.157723639160395	7.50333584891632	1
0.806150302989408	0.997156804893166	0.755078934365883	5.10556864808314	2
0.413015278056264	0.782010124763474	0.185864293016493	6.63804720132612	1
0.856087921885774	0.217214152449742	0.0148183535784483	2.62489208881743	1
0.305578229250386	0.655482505913824	0.663506496464834	9.92949724337086	1
