C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
R75	-0.950651023053559	-0.534483714327032	-1.81430725359085	-2.80960610441816	0.300605101357065	0.839795054756572	1.82139495859818	1.82096238802806	1.44737915180415	0.329531887473726
R37	0.168767302258643	-0.889927704732242	1.05128786320202	1.12802222357984	-0.154865323951091	-1.62060526100271	-0.15453941405704	-0.988742206710116	-1.55116112924691	-0.541860079082945
R82	-0.921804600266623	-0.945203404975271	-1.06945986259678	-1.47326910452579	-0.407546864972724	0.539548380384818	0.679089849104344	0.462089356175429	1.47841468695201	1.38464589755108
R66	-0.265506523466729	-2.85404847034919	-1.2771570232828	0.17041913108225	-1.03341920194277	-0.208066920596285	0.380060749792915	1.36065351287785	0.535230043855151	1.8598673100716
R29	1.67608586262166	2.54832506838321	0.158145867549815	0.960367405731848	1.27414525310292	-1.33479874974841	-3.52979514806289	0.073189352339043	-0.708592882345053	-0.494558913668789
R32	1.24590048370132	1.32152870372637	3.1338120407159	1.56186898650854	1.34738758235002	0.755165054118403	-2.19961664615548	-0.194469106161793	-0.247164846770839	-1.40064805817715
R57	-0.548450310077192	-0.594182188661334	-0.155799168318908	-1.19065855876091	-1.9732333401789	0.768276537232873	1.04965774343725	1.61328782228285	2.53859660633522	2.87692355987727
R84	-1.47926169982822	-1.19755072552023	-0.066447516369293	-1.16989072020528	-2.37692987214669	0.977164385177893	0.419885806991329	1.30666826382057	0.820281676596599	1.75563035625889
R85	0.217310576017481	-0.803598102804119	-2.09267066876362	-0.608453991276027	-0.0650015460551734	2.82551392519672	1.75036881242017	1.5416144964828	0.252462511429549	0.475645325698783
R45	-0.0950029784609174	0.37151754849934	3.52250501918016	0.699731018837828	0.620908518073848	-1.63581015183884	-0.405198798895185	0.159705330564817	-0.239260827444236	-2.5240294479107
R51	-1.03054091769688	-0.788492614496622	-0.638702405742335	-0.963596438036037	0.704193293239158	1.5126360055896	-1.55335320399805	0.559275824312635	0.20119649282593	1.88540554012792
R58	-0.51501493801209	-1.0160970221524	-1.32354001611077	-0.00819823375300333	-0.205048035007209	1.00297278049385	0.247009931058735	2.69637456081552	1.08872555149603	0.0138039394618884
R49	2.90569394365919	1.82646124444932	3.9317848995276	0.00419258616932505	1.47381148871757	-0.310906534455835	-2.03175943508064	-1.73992010653654	-0.940727652678967	-1.47490247229517
R71	-0.17988575921583	-1.88335721597673	-0.00786698205308467	-0.910667746669441	-2.42594814777919	1.96663656407863	0.527180509445719	0.701980504289786	-0.42860350179381	0.0484620758536014
R78	-0.574321637731519	0.532772702942586	-1.12108974916548	-0.172694494559797	-1.098943402861	1.44082559478043	1.78342281766332	1.60234112107378	0.1595504742391	1.37744993006937
R61	-0.331994706332657	-1.11094648692342	-1.11311679744695	-1.443500118981	-1.84394471080798	1.35123994210867	-0.353965713886333	0.0119916407139534	1.78476590476864	-0.138324048418234
R94	-1.38059250183393	0.172181208700235	-2.89322918714977	-1.96590250451448	-1.59731721162698	1.66424169305012	-0.183071604160635	2.02386655299889	1.59041313403538	1.13428046458938
R28	0.0569787877037238	1.21213055817002	2.04621945560013	3.87022579985035	-0.413205383538121	-0.356607343108244	-1.5971019300363	0.791628479663835	-0.261871419884259	-2.81004348753082
R65	-0.767340531460913	0.661206008942358	-2.09199084348127	-3.16262260033939	-0.154409281118204	2.02065212111734	1.18624772937775	0.542957531765069	-1.56072957317085	1.81926166591989
R3	1.82524859277691	3.19006783880055	0.729154439111074	2.09576244495799	0.216930641767423	-2.14793788208108	0.449990318001544	-0.944103983593226	-0.863348174715891	-0.12532611378087
R76	0.460408490558007	-2.79769348424903	-1.54460323718067	-2.5320884848171	0.241865961965352	-0.187062496467404	0.957576199313203	2.03852936798211	0.361551492686607	0.508554111469777
R36	0.368844541090302	1.73679898541982	0.618073214212337	0.439299952230748	1.30183319476052	-1.60151955677866	-1.07561420745251	0.153433683845126	0.241850036172925	-2.72817150212418
R79	0.345592813157386	-0.897127748729463	-1.683088907906	-1.71663809768263	-2.28891359581421	1.77951065919519	2.47465497349608	0.842217290707803	0.263970006715031	1.65178242310575
R56	-1.98508535934422	-0.298695810741473	-0.701043209875612	-2.94703509448691	-1.09794705069568	-1.94456881131963	2.96993125402893	0.954957310773542	0.0392800116636067	2.70487048379071
R35	0.811712260702502	-0.851917472347997	1.31427590178704	-0.653475174366748	2.75955413942398	0.132147056202037	0.114623875685473	-0.902000578953759	-2.35072670590843	-0.978822050141663
R1	1.58129084725436	0.645423862586639	-1.12548506567094	0.340933906534258	0.271843844170212	-0.630410086452702	-1.14270739511952	-1.52775713815974	-0.921824646834483	-1.5437540773187
R68	-0.877461367579267	-0.686330610774804	-2.49110124797825	-1.35534636623128	-0.669541431011236	0.0872746398251556	3.23298159557565	1.99877367120465	2.87345159548981	0.453087397846527
R47	0.711971250967425	0.195384139572868	2.40150625181133	0.448521810383823	2.44816583445514	-1.60369259834909	-1.07484383723154	-1.76473413629689	-0.691888799760211	-1.67709338512683
R34	0.344936150639044	0.453058876678736	0.83372993912897	2.749267877151	1.70558169636484	-0.249258285766813	-1.5467217772498	-1.69590169640099	-1.4930490362127	1.01728347667165
R74	-2.4610776402761	1.5734982792592	-0.703504726949159	-1.65732280358591	-0.304377086628517	-1.2030823969652	0.378295078774909	0.51075022863432	-0.132063514632823	2.73829166413678
R30	0.204307062876646	0.731301883165179	1.91902178312071	1.53259648498167	-0.234179892074816	-1.0956830471419	-1.0186519981293	-1.52442623547492	-0.891866151673484	-0.282022732353969
