Weight	Sex
54.43952435	Female
54.76982251	Female
56.55870831	Female
55.07050839	Female
55.12928774	Female
56.71506499	Female
55.46091621	Female
53.73493877	Female
54.31314715	Female
54.55433803	Female
56.2240818	Female
55.35981383	Female
55.40077145	Female
55.11068272	Female
54.44415887	Female
56.78691314	Female
55.49785048	Female
53.03338284	Female
55.7013559	Female
54.52720859	Female
53.93217629	Female
54.78202509	Female
53.97399555	Female
54.27110877	Female
54.37496073	Female
53.31330669	Female
55.83778704	Female
55.15337312	Female
53.86186306	Female
56.25381492	Female
55.42646422	Female
54.70492852	Female
55.89512566	Female
55.87813349	Female
55.82158108	Female
55.68864025	Female
55.55391765	Female
54.93808829	Female
54.69403734	Female
54.619529	Female
54.30529302	Female
54.79208272	Female
53.73460365	Female
57.16895597	Female
56.207962	Female
53.87689142	Female
54.59711516	Female
54.53334465	Female
55.77996512	Female
54.91663093	Female
55.25331851	Female
54.97145324	Female
54.95712954	Female
56.36860228	Female
54.77422901	Female
56.5164706	Female
53.4512472	Female
55.58461375	Female
55.12385424	Female
55.21594157	Female
55.37963948	Female
54.49767655	Female
54.66679262	Female
53.98142462	Female
53.92820877	Female
55.30352864	Female
55.44820978	Female
55.05300423	Female
55.92226747	Female
57.05008469	Female
54.50896883	Female
52.69083112	Female
56.00573852	Female
54.29079924	Female
54.31199138	Female
56.02557137	Female
54.71522699	Female
53.77928229	Female
55.18130348	Female
54.86110864	Female
55.00576419	Female
55.3852804	Female
54.62933997	Female
55.64437655	Female
54.77951344	Female
55.33178196	Female
56.09683901	Female
55.43518149	Female
54.67406841	Female
56.14880762	Female
55.99350386	Female
55.54839696	Female
55.23873174	Female
54.37209392	Female
56.36065245	Female
54.39974041	Female
57.18733299	Female
56.53261063	Female
54.76429964	Female
53.9735791	Female
54.28959344	Female
55.25688371	Female
54.75330812	Female
54.6524574	Female
54.04838143	Female
54.95497228	Female
54.21509553	Female
53.33205806	Female
54.61977348	Female
55.91899661	Female
54.42465304	Female
55.60796432	Female
53.38211729	Female
54.94443803	Female
55.5194072	Female
55.30115336	Female
55.10567619	Female
54.35929399	Female
54.15029565	Female
53.97587121	Female
55.1176466	Female
54.05252539	Female
54.50944256	Female
54.74390781	Female
56.84386201	Female
54.3480501	Female
55.23538657	Female
55.07796085	Female
54.03814337	Female
54.92869191	Female
56.44455086	Female
55.45150405	Female
55.04123292	Female
54.57750317	Female
52.94675278	Female
56.13133721	Female
53.53935993	Female
55.73994751	Female
56.90910357	Female
53.55610684	Female
55.70178434	Female
54.73780251	Female
53.42785584	Female
53.48533235	Female
53.39846383	Female
54.46909348	Female
53.53824442	Female
55.68791677	Female
57.10010894	Female
53.71296952	Female
55.78773885	Female
55.76904224	Female
55.33220258	Female
53.99162339	Female
54.88054739	Female
54.71960466	Female
55.56298953	Female
54.62756124	Female
55.97697339	Female
54.62541914	Female
56.05271147	Female
53.95082299	Female
53.73984476	Female
58.24103993	Female
54.58314241	Female
55.29822759	Female
55.63656967	Female
54.51621937	Female
55.51686204	Female
55.36896453	Female
54.78461949	Female
55.06529303	Female
54.96593275	Female
57.1284519	Female
54.2586639	Female
53.90400373	Female
55.0377884	Female
55.31048075	Female
55.43652348	Female
54.54163467	Female
53.93667387	Female
56.26318518	Female
54.65034961	Female
54.13448714	Female
54.76372043	Female
54.80282411	Female
56.10992029	Female
55.08473729	Female
55.75405379	Female
54.50070798	Female
55.21444531	Female
54.67531409	Female
55.09458353	Female
54.10463664	Female
53.68919847	Female
56.99721338	Female
55.60070882	Female
53.74872864	Female
54.38883408	Female
53.81451992	Female
60.19881035	Male
59.31241298	Male
57.73485494	Male
58.54319406	Male
57.58566005	Male
57.52375311	Male
57.21139716	Male
57.40538273	Male
59.65090747	Male
57.94597187	Male
58.11924524	Male
58.24368743	Male
59.23247588	Male
57.48393617	Male
57.00749285	Male
59.67569693	Male
57.55883678	Male
57.27693403	Male
56.76372688	Male
56.71528428	Male
57.42602652	Male
58.61798582	Male
59.10984814	Male
58.70758835	Male
57.6363427	Male
58.05974994	Male
57.29540354	Male
57.28278184	Male
58.8846505	Male
56.98440742	Male
59.95529397	Male
57.90968041	Male
