GeneID	Sample1
10000	-0.307644803
10001	0.415868046
10002	0.198549252
10003	-0.231552974
100048912	-0.044907242
10004	-0.087562371
10005	-0.126266815
10006	0.650282053
10007	0.156691221
10009	-0.019296438
1000	-0.007689655
10010	-0.350999948
100127886	-0.185396772
100127972	-0.004943871
100128008	-0.189191353
100128062	1.03921538
100128414	-0.000204145
100128919	-0.177015022
100129015	-0.011930756
100129128	0.167667835
100129250	-0.198818033
100129271	-0.19893869
100129361	0.705464911
100129410	-4.66E-05
100129482	-0.147041184
100129500	-0.135912015
100129503	-0.193717747
100129624	-0.047588743
100129656	-0.091272862
100129668	-0.04400424
100129686	-0.066278443
100129762	-1.452678774
100129973	-0.331317418
100130100	-0.160796485
100130130	0.287515887
100130134	-0.008544344
100130291	0.000141275
100130348	-0.157170309
100130449	0.593745725
100130464	-0.098145889
100130544	-0.941296316
100130624	-0.500969488
100130633	0.189417174
100130703	-0.007446631
100130862	-0.019048279
100131005	0.108496966
100131164	-0.063343132
100131298	-0.024285407
100131613	-0.503746675
100132129	-0.103294097
100132302	0.066448656
100132323	-0.336597362
100132430	-0.345707812
100132833	-0.371468027
100133166	0.763613057
100133233	-0.230271547
100133276	-0.014734958
10013	-0.378713958
10014	-0.449105961
10015	1.07648796
10016	0.867264354
10017	-0.006231513
10018	-0.019768649
10019	0.254418115
1001	-0.675434068
10020	-0.055968017
10021	-0.085683487
10022	-0.089680294
10023	0.233533052
10024	-0.091777902
10025	-0.456074274
10026	0.630027842
1002	-0.102359918
10036	-0.032717344
10038	-0.364420141
10039	-0.100739821
1003	0.987010818
10040	0.26844338
10042	-0.126437639
10043	-0.085603893
10045	-0.302736525
10046	-0.306654094
10047	-0.278574971
10048	0.426375368
10049	0.311067517
1004	-0.019445158
10050	-0.089424618
10051	0.343929371
10052	0.018700173
10053	-0.438005064
10054	0.131844189
10055	0.170562255
10057	1.011065244
10058	-0.158613563
10059	0.411245852
1005	-0.006042167
10060	-0.009498639
10061	-0.442771714
10062	-0.478110993
10066	-0.309524471
10067	0.260654564
10069	0.244011922
1006	-0.060657282
10072	0.372508866
10073	-0.065352001
10075	0.091691175
10076	-0.154302275
10077	-0.112255964
10078	-0.24728932
10079	0.553592519
1007	-0.092262898
10083	-0.864646824
10084	-0.017232743
10085	-0.192383445
10086	-0.130953078
10087	0.14278524
10089	-0.21037179
1008	-0.079367695
10090	0.177704796
10092	0.400356236
10093	-0.017711613
10095	0.179637973
10096	0.863032392
10097	1.196698659
10098	0.09746726
10099	1.809517394
1009	1.197424706
100	0.07560611
10100	-0.237855945
10101	-0.25535167
10102	0.018869551
10103	0.967849532
10105	0.570000273
10106	-0.252189128
10107	-0.268058346
10109	0.926621287
1010	-0.109122364
10110	-0.243815983
10111	0.4574672
10112	0.769002962
10113	0.0335257
10114	-0.206622802
10116	0.02208256
10120	-0.435694197
10121	0.069837776
10123	-0.505428788
10125	1.656841508
10126	0.081406131
10127	-0.123375333
10128	0.513257039
10129	1.018094161
1012	-0.21292335
10130	1.47444581
10131	-1.004650744
10133	0.024408863
10134	0.281476182
10135	0.144544044
10136	-0.214130534
10137	0.462332493
10138	0.340163665
10139	-0.326889596
1013	-0.198605896
10140	0.448639736
10141	-0.500323203
10142	0.835739224
10144	-1.168133234
10146	0.20474076
10147	-0.136926698
10148	-0.266167125
10149	0.030407546
1014	-0.082596907
10150	-0.197974769
10151	0.310897324
10152	-0.11710814
10153	0.08904901
10154	-0.083430665
10155	-0.300672189
10157	-0.072524873
10158	-0.699497469
10159	1.864156131
1015	-0.053129225
10160	0.137122144
10161	0.268097215
10162	0.218539916
10164	-0.055748612
10165	0.255412885
10168	-0.145539946
10169	0.712746784
1016	0.011230976
10170	-0.300796651
10171	0.21885248
10174	-0.396776161
10175	1.495975774
10179	0.827672336
1017	-0.111980371
10180	-0.263817646
10181	-0.003625212
10184	-0.083185146
10186	0.246910577
10188	-0.051633088
1018	-0.300466992
10190	1.265461736
10193	-0.01768842
10195	-0.083570477
10196	0.106198081
10197	0.020586372
10198	0.527905905
10199	-0.253609109
1019	-0.095710004
